sample,super_pop,PC1,PC2,afr_score
HG00672,EAS,-15.147137155685085,-22.661906672248616,0.19806923253941772
HG00674,EAS,-15.685096604096517,-15.458587913092463,0.1167811726753153
HG00675,EAS,-13.446755806231984,-20.110761870496706,0.21323092254799836
HG00683,EAS,-13.797601327074453,-13.982780267842925,0.14578852510954543
HG00684,EAS,-12.899920755165256,-15.15834219066039,0.18856310491010897
HG00689,EAS,-16.84879788340232,-18.490010246576254,0.12919059893087162
HG00690,EAS,-13.806232181349488,-16.54073521979433,0.18545238388744206
HG00692,EAS,-13.680699074536706,-15.926854861104824,0.16037950188001776
HG00693,EAS,-14.414664773431753,-15.907531903292485,0.16285354570120053
HG00698,EAS,-16.939949992829554,-22.42024666831462,0.14670164554552462
HG00699,EAS,-12.215877110889494,-17.80026378262451,0.2277270948251032
HG00701,EAS,-14.982884367016267,-14.628022414894318,0.14016589432181653
HG00704,EAS,-14.419601983517701,-21.963533426485107,0.20183888743288728
HG00705,EAS,-12.714346265255296,-17.86342944105781,0.21381353771485276
HG00707,EAS,-15.778162138476453,-19.017852933625434,0.14946699498708915
HG00708,EAS,-14.443528811219435,-14.93363934734175,0.15158547236647374
HG00717,EAS,-14.597886603241294,-22.273082977966865,0.2075141989934568
HG00728,EAS,-14.826844690390175,-12.227447741762763,0.11919433647384982
HG00729,EAS,-15.628049941588426,-17.51333210329285,0.1494357073279303
HG00731,AMR,-7.454951253131395,12.146309332323552,0.05092576005397062
HG00732,AMR,-12.166146361531093,8.106438194336638,0.0
HG00734,AMR,-9.989992964921576,12.484342587942532,0.0
HG00736,AMR,-6.573911776306314,11.285077516678234,0.07072985319187065
HG00737,AMR,-5.587511064506207,9.571200780338227,0.10089420941191014
HG00739,AMR,-5.725004094058491,8.786676026607822,0.11289864993131576
HG00740,AMR,-2.862692284422808,-1.1870851448583155,0.2762736131930114
HG00742,AMR,-7.70153639359188,13.46681420450045,0.025652157266279705
HG00743,AMR,-9.878251763966862,1.952988444755151,0.10943858378450626
HG00759,EAS,-14.73337907384839,-17.676673194752862,0.16551931966379704
HG00766,EAS,-17.07132282042969,-18.3679667615604,0.11780571677880863
HG00844,EAS,-12.501210688906665,-14.786002719715132,0.19210183934285063
HG00851,EAS,-13.37633753493346,-17.332492610958504,0.1879048650762507
HG00864,EAS,-14.659824650780886,-16.457500353488744,0.15395873216142897
HG00867,EAS,-14.821981170776699,-17.67527883997599,0.16415262386537674
HG00879,EAS,-13.699885168442588,-10.712336366982678,0.13057516030192717
HG00881,EAS,-12.058892877621167,-14.572662164249605,0.19992614533625858
HG00956,EAS,-14.365844657927724,-17.7387104726028,0.1746798555493106
HG00978,EAS,-12.523339496505399,-6.725564199180944,0.12803734330407512
HG00982,EAS,-15.42114402660354,-15.264240754317438,0.12791603727612902
HG01028,EAS,-14.42431245953804,-19.97143637892476,0.19658516291032607
HG01029,EAS,-15.0852088926387,-13.890911770202612,0.12872296000816974
HG01031,EAS,-16.329238383977746,-18.082142755950947,0.13795116630501186
HG01046,EAS,-13.677152300621582,-17.277825021668022,0.20029428320281137
HG01047,AMR,-11.768945714396219,8.193046661739265,0.0
HG01048,AMR,-2.6737513258107866,6.143355176727983,0.22429099991266985
HG01049,AMR,24.760467665708134,3.2196795080975353,0.8624714512076543
HG01051,AMR,-7.194055293022914,9.954407787674644,0.07524768934594787
HG01052,AMR,3.735076289948113,9.206142299757527,0.3320761084911008
HG01054,AMR,-9.007926982238393,13.873732887246835,0.0
HG01055,AMR,-5.783509867307552,8.570642658194748,0.10795318874081662
HG01058,AMR,3.7474918567982014,3.277619015367226,0.37700759169392484
HG01060,AMR,-10.349739785725877,13.098804958084001,0.0
HG01061,AMR,-6.25077914885557,4.395022063708728,0.14743390691589642
HG01063,AMR,15.43595898627866,-1.192694340944432,0.6989001722715148
HG01064,AMR,-10.803179634041236,13.65661916774132,0.0
